mse-inside,mse_outside,const satisfaction-train,const satisfaction-test,l_1 norm,l_2 norm,l_inf norm,selected nodes,feasibility,cost,,,,,
0.959426343,1.177929521,1,0.970588235,3.152607576,1.401153182,1.009284593,"[0, 1, 4, 6, 8]","['f', 'f', 'f']",1947.96248,max_weight_bound,1,cost weights,[1. 1.],10:08.2
0.970752299,1.19163847,0.988372093,0.941176471,3.833578659,1.409945258,0.970958509,"[2, 3, 5, 6, 8]","['nf', 'f', 'f']",1947.360955,max_weight_bound,1,cost weights,[1. 1.],24:43.0
1.337036371,1.856036782,0.662790698,0.676470588,6.407518334,2.237580705,1.135821864,"[0, 1, 4, 7, 8]","['f', 'f', 'f']",1945.380144,max_weight_bound,1,cost weights,[1. 1.],10:16.2
0.970757365,1.192315102,1,1,4.026923911,1.470329995,0.981607355,"[1, 2, 3, 6, 8]","['f', 'f', 'f']",1933.454123,max_weight_bound,1,cost weights,[1. 1.],18:47.5
0.028734,0.052282229,1,0.970588235,3.792249847,1.208225214,0.509595096,"[2, 3, 4, 6, 7]","['nf', 'f', 'f']",1915.969341,max_weight_bound,1,cost weights,[1. 1.],24:13.9
0.985845685,1.21261394,0.953488372,0.852941176,5.520635931,1.746034879,1.021366335,"[2, 3, 4, 6, 8]","['nf', 'f', 'f']",1853.223909,max_weight_bound,1,cost weights,[1. 1.],24:21.2
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[2, 3, 6, 7, 8]","['nf', 'nf', 'f']",1841.731218,max_weight_bound,1,cost weights,[1. 1.],24:56.3
1.036852002,0.934437096,1,1,3.732181921,1.368943045,1.086135194,"[0, 1, 2, 4, 8]","['f', 'f', 'f']",1824.591977,max_weight_bound,1,cost weights,[1. 1.],07:08.1
0.020644307,0.035696819,1,1,2.493308783,0.718635952,0.249204785,"[3, 4, 5, 6, 7]","['f', 'f']",1815.874127,max_weight_bound,1,cost weights,[1. 1.],25:48.3
0.400095642,0.716330767,0.662790698,0.705882353,5.581686407,1.886523519,1.126231745,"[2, 3, 4, 5, 7]","['nf', 'f', 'f']",1709.031348,max_weight_bound,1,cost weights,[1. 1.],23:48.2
0.021513654,0.038435992,1,1,2.109238926,0.663179427,0.270602703,"[1, 3, 5, 6, 7]","['nf', 'f', 'f']",1706.820556,max_weight_bound,1,cost weights,[1. 1.],22:11.8
0.021356601,0.038162738,1,1,2.192202512,0.664537393,0.270602703,"[3, 5, 6, 7, 8]","['f', 'f']",1701.892244,max_weight_bound,1,cost weights,[1. 1.],26:24.5
0.019818148,0.033849496,1,1,2.402413109,0.716751895,0.249204785,"[1, 3, 4, 5, 6]","['nf', 'f', 'f']",1692.262026,max_weight_bound,1,cost weights,[1. 1.],21:05.9
0.078553043,0.139949739,1,0.911764706,6.617569271,2.251305106,0.962950096,"[2, 4, 5, 6, 7]","['nf', 'f', 'f']",1655.88268,max_weight_bound,1,cost weights,[1. 1.],25:04.7
0.970752299,1.19163847,0.988372093,0.941176471,3.833578659,1.409945258,0.970958509,"[1, 3, 5, 6, 8]","['nf', 'f', 'f']",1633.891488,max_weight_bound,1,cost weights,[1. 1.],22:19.0
0.960043371,1.179007411,1,1,4.309906075,1.464595132,0.992723681,"[3, 4, 5, 6, 8]","['f', 'f']",1631.321579,max_weight_bound,1,cost weights,[1. 1.],26:02.8
0.028734,0.052282229,1,0.970588235,3.792249847,1.208225214,0.509595096,"[1, 3, 4, 6, 7]","['nf', 'f', 'f']",1616.118279,max_weight_bound,1,cost weights,[1. 1.],21:49.9
0.985845685,1.21261394,0.953488372,0.852941176,5.520635931,1.746034879,1.021366335,"[1, 3, 4, 6, 8]","['nf', 'f', 'f']",1603.763962,max_weight_bound,1,cost weights,[1. 1.],21:57.0
0.400052756,0.71650058,0.674418605,0.705882353,5.418196543,1.893630859,1.12047112,"[1, 2, 3, 5, 7]","['f', 'f', 'f']",1600.964368,max_weight_bound,1,cost weights,[1. 1.],18:17.8
