
Gurobi 9.5.0 (win64) logging started Tue Jun 28 16:26:13 2022

Set parameter LogFile to value "C:\Users\kmajd1\Documents\NNRepLayer_v2\demos\walking_example\dynamic_constraint\repair_net/logs/opt_log_6_28_2022_16_18_43.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (win64)
Thread count: 8 physical cores, 16 logical processors, using up to 16 threads
Optimize a model with 213067 rows, 136399 columns and 1380619 nonzeros
Model fingerprint: 0x1a11d248
Model has 270 quadratic objective terms
Variable types: 57007 continuous, 79392 integer (79392 binary)
Coefficient statistics:
  Matrix range     [2e-04, 5e+01]
  Objective range  [5e-04, 2e+00]
  QObjective range [7e-02, 7e-02]
  Bounds range     [1e+00, 5e+01]
  RHS range        [3e-05, 5e+01]
Presolve removed 130140 rows and 51840 columns (presolve time = 5s) ...
Presolve removed 130140 rows and 51840 columns (presolve time = 10s) ...
Presolve removed 130140 rows and 51840 columns
Presolve time: 11.67s
Presolved: 82927 rows, 84559 columns, 1172719 nonzeros
Presolved model has 270 quadratic objective terms
Variable types: 57007 continuous, 27552 integer (27552 binary)
Root relaxation presolve removed 29184 rows and 27552 columns (presolve time = 5s) ...
Root relaxation presolve removed 29184 rows and 27552 columns
Root relaxation presolved: 53743 rows, 57007 columns, 1114351 nonzeros
Root relaxation presolved model has 270 quadratic objective terms


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  558351    2.7521229e+01   2.446553e+06   0.000000e+00   1121s
  560058    2.7521229e+01   1.051910e+06   0.000000e+00   1126s
  561800    2.7521229e+01   1.478256e+06   0.000000e+00   1131s
  563431   -3.4291935e+02   7.250974e+06   0.000000e+00   1136s
  565384   -3.4134669e+02   2.326147e+07   0.000000e+00   1141s
  566827   -3.4067421e+02   6.918424e+07   0.000000e+00   1146s
  568306   -3.4012856e+02   1.219340e+07   0.000000e+00   1151s
  569774   -3.3932123e+02   9.907674e+07   0.000000e+00   1155s
  571148   -3.3863552e+02   1.873050e+08   0.000000e+00   1160s
  572613   -3.3793581e+02   1.557952e+07   0.000000e+00   1165s
  574096   -3.3732179e+02   1.256931e+07   0.000000e+00   1170s
  575782   -3.3573715e+02   3.270298e+06   0.000000e+00   1175s
  577258   -3.3510362e+02   4.183619e+06   0.000000e+00   1180s
  579132   -3.3414138e+02   1.028489e+08   0.000000e+00   1186s
  580606   -3.3376025e+02   4.895048e+07   0.000000e+00   1191s
  582052   -3.3326310e+02   6.445793e+07   0.000000e+00   1196s
  583537   -3.3261715e+02   1.534258e+07   0.000000e+00   1201s
  584641   -3.3211358e+02   2.719236e+06   0.000000e+00   1205s
  586320   -3.3063134e+02   3.787563e+06   0.000000e+00   1210s
  587780   -3.3012240e+02   3.942652e+07   0.000000e+00   1215s
  589620   -3.2914554e+02   7.593839e+05   0.000000e+00   1221s
  591118   -3.2851041e+02   2.687864e+07   0.000000e+00   1226s
  592219   -3.2801859e+02   2.028016e+07   0.000000e+00   1230s
  593692   -3.2737436e+02   9.606998e+06   0.000000e+00   1236s
  595184   -3.2678348e+02   3.410473e+07   0.000000e+00   1241s
  596674   -3.2621748e+02   2.890944e+07   0.000000e+00   1246s
  598162   -3.2571045e+02   2.701994e+06   0.000000e+00   1251s
  599302   -3.2517892e+02   1.541143e+07   0.000000e+00   1255s
Warning: 1 variables dropped from basis
  600573    2.7521229e+01   1.915972e+06   0.000000e+00   1260s
  601893   -3.4613389e+02   1.123085e+07   0.000000e+00   1266s
  602595   -3.4575762e+02   3.410226e+06   0.000000e+00   1270s
  603942   -3.4480148e+02   2.927065e+07   0.000000e+00   1275s
  605653   -3.4356803e+02   4.763506e+07   0.000000e+00   1281s
  607039   -3.4290904e+02   4.271652e+07   0.000000e+00   1285s

Root relaxation: interrupted, 607070 iterations, 1272.81 seconds (2924.22 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0          -    0               -   27.52123      -     - 1285s

Explored 1 nodes (607070 simplex iterations) in 1285.50 seconds (2940.33 work units)
Thread count was 16 (of 16 available processors)

Solution count 0

Solve interrupted
Best objective -, best bound 2.752122916597e+01, gap -
